bodyId_pre,bodyId_post,weight
556329,816408,3
12781,304920,3
12781,303968,3
12781,297837,3
12781,821288,3
12781,811502,3
556329,816268,3
556329,816261,3
556329,816114,3
556329,816065,3
12781,811746,3
556329,815972,3
556329,815963,3
556329,815807,3
556329,815779,3
556329,815771,3
12781,800483,3
556329,815743,3
556329,815632,3
12781,68405,3
556329,815489,3
12781,812794,3
12781,812727,3
556329,815475,3
556329,815459,3
556329,815421,3
556329,815356,3
556329,815266,3
556329,815244,3
556329,815165,3
556329,815106,3
556329,815090,3
556329,815047,3
556329,815025,3
556329,814911,3
556329,814907,3
556329,11702,3
12781,556756,3
12781,812892,3
12781,818550,3
12781,818488,3
12781,818210,3
12781,818176,3
12781,818114,3
556329,814883,3
556329,814880,3
556329,814829,3
12781,813033,3
12781,816920,3
12781,816897,3
12781,816867,3
12781,816847,3
12781,816811,3
556329,814621,3
556329,814481,3
556329,814418,3
556329,814320,3
556329,814226,3
556329,814216,3
12781,199395,3
12781,554335,3
12781,550223,3
12781,524860,3
556329,18039,3
556329,15192,3
556329,14265,3
12781,191539,3
12781,189426,3
12781,179637,3
12781,169936,3
556329,814194,3
12781,825637,3
12781,825362,3
12781,824903,3
12781,824814,3
12781,824501,3
12781,824287,3
12781,824134,3
12781,211020,3
12781,210251,3
12781,206889,3
556329,813657,3
12781,816413,3
556329,18957,3
556329,813630,3
12781,813631,3
556329,813368,3
556329,813347,3
556329,813303,3
12781,219189,3
12781,217851,3
12781,216573,3
12781,214285,3
12781,213211,3
12781,521443,3
12781,520133,3
12781,519626,3
556329,813002,3
556329,812995,3
12781,317278,3
556329,812955,3
556329,812509,3
12781,222144,3
12781,826805,3
12781,814135,3
12781,814083,3
12781,813999,3
12781,221428,3
12781,220580,3
556329,812254,3
556329,811855,3
556329,811785,3
556329,811562,3
12781,285376,3
12781,326920,3
12781,228003,3
556329,811379,3
12781,814237,3
12781,377359,3
12781,343346,3
12781,342387,3
12781,230996,3
556329,809895,3
556329,809799,3
556329,809508,3
12781,237468,3
12781,814548,3
12781,816240,3
12781,235830,3
12781,233717,3
556329,809032,3
556329,808921,3
556329,808678,3
556329,808521,3
556329,808350,3
12781,244634,3
12781,243283,3
12781,242463,3
12781,240648,3
12781,238358,3
556329,808127,3
12781,814893,3
556329,807667,3
12781,903120,3
12781,903101,3
12781,902943,3
556329,166035,3
556329,79634,3
12781,902565,3
12781,902322,3
556329,807342,3
12781,249680,3
12781,247028,3
